# "The 3DSC_MP without SOAP and MAGPIE columns. Generated on 2022-06-20 15:27:51.274346 by the script <ipython-input-27-76d8ce743270>."
formula_sc,formula_similarity,totreldiff,formula_frac,correct_formula_frac,formula_2,orig_formula_cif,tc,sc_class,sc_class_unique_sc,norm_formula_sc,chemical_composition_sc,num_elements_sc,origin_sc,old_formula_sc,database_id_2,original_formula_2,chemical_composition_2,norm_formula_2,spacegroup_2,crystal_system_2,lata_2,latb_2,latc_2,cif,original_cif_2,material_id_2,band_gap_2,band_structure_2,created_at_2,density_2,doi_2,doi_bibtex_2,dos_2,e_above_hull_2,efermi_2,encut_2,energy_2,energy_per_atom_2,exp_2,final_energy_2,final_energy_per_atom_2,formation_energy_per_atom_2,has_2,has_bandstructure_2,icsd_ids_2,is_ordered_2,last_updated_2,magnetic_type_2,nsites_2,ntask_ids_2,original_task_id_2,oxide_type_2,pretty_formula_2,pseudo_potential_2,reduced_cell_formula_2,run_type_2,task_id_2,task_ids_2,total_magnetization_2,unit_cell_formula_2,cell_volume_2,warnings_2,ordering_2,is_magnetic_2,exchange_symmetry_2,num_unique_magnetic_sites_2,magmoms_2,total_magnetization_normalized_vol_2,total_magnetization_normalized_formula_units_2,num_magnetic_sites_2,true_total_magnetization_2,origin_2,cif_before_synthetic_doping,synth_doped,Reason for exclusion,graph,crystal_temp_2,no_crystal_temp_given_2,point_group_2,cubic,hexagonal,monoclinic,orthorhombic,tetragonal,triclinic,trigonal,primitive,base-centered,body-centered,face-centered,weight
Ag0.02Ge2Pd1.98Sr1,2,0.008,1.0,True,Ag0.02Ge2Pd1.98Sr1,Ge2Pd2Sr1,2.64,Other,True,Ag0.4Ge40Pd39.6Sr20,Ag-Ge-Pd-Sr,4,Supercon,Sr1Pd1.98Ag0.02Ge2,MP-mp-978986,Sr1Ge2Pd2,Ge-Pd-Sr,Ge40Pd40Sr20,I 4/m m m,tetragonal,4.438671999438209,4.438671999438209,6.03054834,data/final/MP/cifs/Ag0.02Ge2Pd1.98Sr1-MP-mp-978986-synth_doped.cif,data/source/MP/raw/cifs/mp-978986.cif,mp-978986,0.0,,2015-10-09 03:56:43,7.295677176868866,10.17188/1316057,"@misc{osti_1316057,
    author = ""Persson, Kristin"",
    title = ""Materials Data on Sr(GePd)2 (SG:139) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1316057"",
    place = ""United States"",
    year = ""2016"",
    month = ""9"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1688092'}},0.0,4.0155429,520.0,-24.8627221,-4.97254442,"{'tags': ['Strontium palladium germanide (1/2/2)', 'Strontium palladium germanium (1/2/2)', 'High pressure experimental phase']}",-24.8627221,-4.97254442,-0.7134818633333324,"['xas', 'elasticity', 'bandstructure']",True,"[165985, 181157, 181155, 181156, 168133]",True,2021-05-12 10:56:37.246000,NM,5,9,mp-978986,None,Sr(GePd)2,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Ge_d', 'Pd'], 'pot_type': 'paw'}","{'Sr': 1.0, 'Ge': 2.0, 'Pd': 2.0}",GGA,mp-978986,"['mp-1005776', 'mp-978986', 'mp-1005866', 'mp-979737', 'mp-1438850', 'mp-1688092', 'mp-1782349', 'mp-1011093', 'mp-1589601']",0.0012593,"{'Sr': 1.0, 'Ge': 2.0, 'Pd': 2.0}",101.45304755163892,[],NM,False,139,0,"[0, 0, 0, 0, 0]",1.2412638460752248e-05,0.0012593,0,0.0012593,MP,data/source/MP/cleaned/cifs/MP-mp-978986.cif,True,,data/final/MP/graphs/Ag0.02Ge2Pd1.98Sr1-MP-mp-978986-synth_doped.json,0,True,4/mmm,0,0,0,0,7,0,0,0,0,1,0,1.0
Ag0.15Sn0.85Te1,3,0.15,1.0,True,Ag0.15Sn0.85Te1,Sn1Te1,2.15,Other,True,Ag7.5Sn42.5Te50,Ag-Sn-Te,3,Supercon,Sn0.85Ag0.15Te1,MP-mp-1883,Sn1Te1,Sn-Te,Sn50Te50,F m -3 m,cubic,4.53766968,4.53766968,4.53766968,data/final/MP/cifs/Ag0.15Sn0.85Te1-MP-mp-1883-synth_doped.cif,data/source/MP/raw/cifs/mp-1883.cif,mp-1883,0.6623999999999999,,2011-05-12 18:43:07,6.19081042904143,10.17188/1193534,"@misc{osti_1193534,
    author = ""Persson, Kristin"",
    title = ""Materials Data on SnTe (SG:225) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1193534"",
    place = ""United States"",
    year = ""2014"",
    month = ""11"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1686906'}},0.0,6.06645058,520.0,-7.72519638,-3.86259819,"{'tags': ['Tin telluride (1/1)', 'Tin telluride']}",-7.72519638,-3.86259819,-0.4971617975000004,"['eos', 'elasticity', 'bandstructure', 'xas']",True,"[52489, 652760, 652744, 652756, 652761, 600865, 652763, 652745, 652742, 604177, 600813, 652741, 601065, 652750, 652755, 652753, 652751, 652749, 652752, 600136, 652754, 652746, 652759]",True,2021-05-12 10:56:14.760000,NM,2,9,mp-1883,None,SnTe,"{'functional': 'PBE', 'labels': ['Sn_d', 'Te'], 'pot_type': 'paw'}","{'Sn': 1.0, 'Te': 1.0}",GGA,mp-1883,"['mp-663289', 'mp-655511', 'mp-657302', 'mp-1883', 'mp-1440781', 'mp-1686906', 'mp-1784332', 'mp-1596407', 'mp-1596974']",0.0,"{'Sn': 1.0, 'Te': 1.0}",66.06685541129963,[],NM,False,225,0,"[0, 0]",0.0,0.0,0,0.0,MP,data/source/MP/cleaned/cifs/MP-mp-1883.cif,True,,data/final/MP/graphs/Ag0.15Sn0.85Te1-MP-mp-1883-synth_doped.json,0,True,m-3m,6,0,0,0,0,0,0,0,0,0,1,1.0
Ag0.1Ge2Pd1.9Sr1,2,0.04,1.0,True,Ag0.1Ge2Pd1.9Sr1,Ge2Pd2Sr1,2.62,Other,True,Ag2Ge40Pd38Sr20,Ag-Ge-Pd-Sr,4,Supercon,Sr1Pd1.9Ag0.1Ge2,MP-mp-978986,Sr1Ge2Pd2,Ge-Pd-Sr,Ge40Pd40Sr20,I 4/m m m,tetragonal,4.438671999438209,4.438671999438209,6.03054834,data/final/MP/cifs/Ag0.1Ge2Pd1.9Sr1-MP-mp-978986-synth_doped.cif,data/source/MP/raw/cifs/mp-978986.cif,mp-978986,0.0,,2015-10-09 03:56:43,7.295677176868866,10.17188/1316057,"@misc{osti_1316057,
    author = ""Persson, Kristin"",
    title = ""Materials Data on Sr(GePd)2 (SG:139) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1316057"",
    place = ""United States"",
    year = ""2016"",
    month = ""9"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1688092'}},0.0,4.0155429,520.0,-24.8627221,-4.97254442,"{'tags': ['Strontium palladium germanide (1/2/2)', 'Strontium palladium germanium (1/2/2)', 'High pressure experimental phase']}",-24.8627221,-4.97254442,-0.7134818633333324,"['xas', 'elasticity', 'bandstructure']",True,"[165985, 181157, 181155, 181156, 168133]",True,2021-05-12 10:56:37.246000,NM,5,9,mp-978986,None,Sr(GePd)2,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Ge_d', 'Pd'], 'pot_type': 'paw'}","{'Sr': 1.0, 'Ge': 2.0, 'Pd': 2.0}",GGA,mp-978986,"['mp-1005776', 'mp-978986', 'mp-1005866', 'mp-979737', 'mp-1438850', 'mp-1688092', 'mp-1782349', 'mp-1011093', 'mp-1589601']",0.0012593,"{'Sr': 1.0, 'Ge': 2.0, 'Pd': 2.0}",101.45304755163892,[],NM,False,139,0,"[0, 0, 0, 0, 0]",1.2412638460752248e-05,0.0012593,0,0.0012593,MP,data/source/MP/cleaned/cifs/MP-mp-978986.cif,True,,data/final/MP/graphs/Ag0.1Ge2Pd1.9Sr1-MP-mp-978986-synth_doped.json,0,True,4/mmm,0,0,0,0,7,0,0,0,0,1,0,1.0
Ag0.1In0.9Te1,3,0.0999999999999999,1.0,True,Ag0.1In0.9Te1,In1Te1,1.2,Other,True,Ag5In45Te50,Ag-In-Te,3,Supercon,Ag0.1In0.9Te1,MP-mp-2597,In1Te1,In-Te,In50Te50,F m -3 m,cubic,4.44363296,4.44363296,4.44363296,data/final/MP/cifs/Ag0.1In0.9Te1-MP-mp-2597-synth_doped.cif,data/source/MP/raw/cifs/mp-2597.cif,mp-2597,0.0,,2011-05-12 18:35:42,6.488053472608879,10.17188/1201088,"@misc{osti_1201088,
    author = ""Persson, Kristin"",
    title = ""Materials Data on InTe (SG:225) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1201088"",
    place = ""United States"",
    year = ""2014"",
    month = ""11"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1668520'}},0.0,6.3140604,520.0,-6.47268679,-3.236343395,"{'tags': ['Indium telluride (1/1)', 'Indium tellurium (1/1) - HP, HT', 'High pressure experimental phase', 'Indium telluride  - II']}",-6.47268679,-3.236343395,-0.4998510649999996,"['xas', 'elasticity', 'bandstructure']",True,"[169425, 44653, 169422, 59547, 169428, 640620, 640614, 169431, 169419, 640622]",True,2021-05-12 10:56:18.721000,NM,2,9,mp-2597,None,InTe,"{'functional': 'PBE', 'labels': ['In_d', 'Te'], 'pot_type': 'paw'}","{'In': 1.0, 'Te': 1.0}",GGA,mp-2597,"['mp-1000805', 'mp-1007252', 'mp-2597', 'mp-1440879', 'mp-1668520', 'mp-1793575', 'mp-1011993', 'mp-1588148', 'mp-1589064']",0.0001824,"{'In': 1.0, 'Te': 1.0}",62.04396451824765,[],NM,False,225,0,"[0, 0]",2.939850820563773e-06,0.0001824,0,0.0001824,MP,data/source/MP/cleaned/cifs/MP-mp-2597.cif,True,,data/final/MP/graphs/Ag0.1In0.9Te1-MP-mp-2597-synth_doped.json,0,True,m-3m,6,0,0,0,0,0,0,0,0,0,1,1.0
Ag0.2Ba1Si1.8,3,0.1333333333333333,4.0,False,Ag0.8Ba4Si7.2,Ba4Si8,3.2,Other,True,Ag6.667Ba33.333Si60,Ag-Ba-Si,3,Supercon,Ba1Ag0.2Si1.8,MP-mp-7275,Ba4Si8,Ba-Si,Ba33.333Si66.667,P 43 3 2,cubic,6.771439,6.771439,6.771439,data/final/MP/cifs/Ag0.2Ba1Si1.8-MP-mp-7275-synth_doped.cif,data/source/MP/raw/cifs/mp-7275.cif,mp-7275,0.0153999999999996,,2011-05-29 01:48:04,4.139450158250275,10.17188/1287630,"@misc{osti_1287630,
    author = ""Persson, Kristin"",
    title = ""Materials Data on BaSi2 (SG:212) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1287630"",
    place = ""United States"",
    year = ""2016"",
    month = ""2"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1670265'}},0.0134410304166667,5.20254346,520.0,-55.23987066,-4.603322555,{'tags': ['Barium silicide (1/2)']},-55.23987066,-4.603322555,-0.2994562650000005,"['bandstructure', 'elasticity']",True,"[2218, 602228]",True,2021-05-12 10:56:29.056000,NM,12,11,mp-7275,None,BaSi2,"{'functional': 'PBE', 'labels': ['Ba_sv', 'Si'], 'pot_type': 'paw'}","{'Ba': 1.0, 'Si': 2.0}",GGA,mp-7275,"['mp-908584', 'mp-923646', 'mp-922864', 'mp-7275', 'mp-1125089', 'mp-1145782', 'mp-1255475', 'mp-1432707', 'mp-1670265', 'mp-1808748', 'mp-1599442']",0.0,"{'Ba': 4.0, 'Si': 8.0}",310.48663568862327,[],NM,False,212,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0,0.0,MP,data/source/MP/cleaned/cifs/MP-mp-7275.cif,True,,data/final/MP/graphs/Ag0.2Ba1Si1.8-MP-mp-7275-synth_doped.json,0,True,432,4,0,0,0,0,0,0,1,0,0,0,1.0
Ag0.2Ge2Pd1.8Sr1,3,0.0799999999999999,1.0,True,Ag0.2Ge2Pd1.8Sr1,Ge2Pd2Sr1,2.52,Other,True,Ag4Ge40Pd36Sr20,Ag-Ge-Pd-Sr,4,Supercon,Sr1Pd1.8Ag0.2Ge2,MP-mp-978986,Sr1Ge2Pd2,Ge-Pd-Sr,Ge40Pd40Sr20,I 4/m m m,tetragonal,4.438671999438209,4.438671999438209,6.03054834,data/final/MP/cifs/Ag0.2Ge2Pd1.8Sr1-MP-mp-978986-synth_doped.cif,data/source/MP/raw/cifs/mp-978986.cif,mp-978986,0.0,,2015-10-09 03:56:43,7.295677176868866,10.17188/1316057,"@misc{osti_1316057,
    author = ""Persson, Kristin"",
    title = ""Materials Data on Sr(GePd)2 (SG:139) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1316057"",
    place = ""United States"",
    year = ""2016"",
    month = ""9"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1688092'}},0.0,4.0155429,520.0,-24.8627221,-4.97254442,"{'tags': ['Strontium palladium germanide (1/2/2)', 'Strontium palladium germanium (1/2/2)', 'High pressure experimental phase']}",-24.8627221,-4.97254442,-0.7134818633333324,"['xas', 'elasticity', 'bandstructure']",True,"[165985, 181157, 181155, 181156, 168133]",True,2021-05-12 10:56:37.246000,NM,5,9,mp-978986,None,Sr(GePd)2,"{'functional': 'PBE', 'labels': ['Sr_sv', 'Ge_d', 'Pd'], 'pot_type': 'paw'}","{'Sr': 1.0, 'Ge': 2.0, 'Pd': 2.0}",GGA,mp-978986,"['mp-1005776', 'mp-978986', 'mp-1005866', 'mp-979737', 'mp-1438850', 'mp-1688092', 'mp-1782349', 'mp-1011093', 'mp-1589601']",0.0012593,"{'Sr': 1.0, 'Ge': 2.0, 'Pd': 2.0}",101.45304755163892,[],NM,False,139,0,"[0, 0, 0, 0, 0]",1.2412638460752248e-05,0.0012593,0,0.0012593,MP,data/source/MP/cleaned/cifs/MP-mp-978986.cif,True,,data/final/MP/graphs/Ag0.2Ge2Pd1.8Sr1-MP-mp-978986-synth_doped.json,0,True,4/mmm,0,0,0,0,7,0,0,0,0,1,0,1.0
Ag0.438Hg0.562,3,0.124,8.0,False,Ag3.504Hg4.496,Ag4Hg4,0.64,Other,True,Ag43.8Hg56.2,Ag-Hg,2,Supercon,Ag0.438Hg0.562,MP-mp-758523,Ag4Hg4,Ag-Hg,Ag50Hg50,P 21 3,cubic,5.531463,5.531463,5.531463,data/final/MP/cifs/Ag0.438Hg0.562-MP-mp-758523-synth_doped.cif,data/source/MP/raw/cifs/mp-758523.cif,mp-758523,0.0,,2014-05-06 19:22:22,12.105573628551594,10.17188/1272776,"@misc{osti_1272776,
    author = ""Persson, Kristin"",
    title = ""Materials Data on AgHg (SG:198) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1272776"",
    place = ""United States"",
    year = ""2016"",
    month = ""2"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1751588'}},0.0834321504166666,2.85397851,520.0,-11.87748827,-1.48468603375,{'tags': []},-11.87748827,-1.48468603375,0.0834321504166666,['bandstructure'],True,[],True,2021-05-12 10:59:01.620000,NM,8,8,mp-758523,None,AgHg,"{'functional': 'PBE', 'labels': ['Ag', 'Hg'], 'pot_type': 'paw'}","{'Ag': 1.0, 'Hg': 1.0}",GGA,mp-758523,"['mp-881112', 'mp-895182', 'mp-758523', 'mp-1383228', 'mp-1751588', 'mp-1779026', 'mp-895651', 'mp-1618520']",0.00012045,"{'Ag': 4.0, 'Hg': 4.0}",169.246632081953,[],NM,False,198,0,"[0, 0, 0, 0, 0, 0, 0, 0]",2.8467331613825062e-06,0.00012045,0,0.0004818,MP,data/source/MP/cleaned/cifs/MP-mp-758523.cif,True,,data/final/MP/graphs/Ag0.438Hg0.562-MP-mp-758523-synth_doped.json,0,True,23,1,0,0,0,0,0,0,1,0,0,0,1.0
Ag0.4Sn0.6Te1,3,0.0999999999999999,2.0,False,Ag0.8Sn1.2Te2,Ag1Sn1Te2,1.95,Other,True,Ag20Sn30Te50,Ag-Sn-Te,3,Supercon,Sn0.6Ag0.4Te1,MP-mp-1229006,Ag1Sn1Te2,Ag-Sn-Te,Ag25Sn25Te50,P 4/m m m,tetragonal,4.34439,4.34439,6.074553,data/final/MP/cifs/Ag0.4Sn0.6Te1-MP-mp-1229006-synth_doped.cif,data/source/MP/raw/cifs/mp-1229006.cif,mp-1229006,0.0,,2019-01-13 04:39:05.516000,6.977893003537542,,,{'GGA': {'task_id': 'mp-1732744'}},0.0364139496875002,5.54955594,520.0,-13.64719625,-3.4117990625,{'tags': []},-13.64719625,-3.4117990625,-0.3406166329166669,['bandstructure'],True,[],True,2021-05-12 10:58:49.477000,NM,4,5,mp-1229006,None,AgSnTe2,"{'functional': 'PBE', 'labels': ['Ag', 'Sn_d', 'Te'], 'pot_type': 'paw'}","{'Ag': 1.0, 'Sn': 1.0, 'Te': 2.0}",GGA,mp-1229006,"['mp-1229006', 'mp-1445755', 'mp-1732744', 'mp-1803164', 'mp-1584969']",0.0064562,"{'Ag': 1.0, 'Sn': 1.0, 'Te': 2.0}",114.64943961316844,[],NM,False,123,0,"[0, 0, 0, 0]",5.631252993284104e-05,0.0064562,0,0.0064562,MP,data/source/MP/cleaned/cifs/MP-mp-1229006.cif,True,,data/final/MP/graphs/Ag0.4Sn0.6Te1-MP-mp-1229006-synth_doped.json,0,True,4/mmm,0,0,0,0,7,0,0,1,0,0,0,1.0
Ag0.55Hg0.45,1,0.0,20.0,False,Ag11Hg9,Ag11Hg9,0.0,Other,True,Ag55Hg45,Ag-Hg,2,Supercon,Ag0.55Hg0.45,MP-mp-770433,Ag11Hg9,Ag-Hg,Ag55Hg45,P 3 m 1,trigonal,3.219134001854555,3.2191332900000003,46.742527,data/final/MP/cifs/Ag0.55Hg0.45-MP-mp-770433.cif,data/source/MP/raw/cifs/mp-770433.cif,mp-770433,0.0,,2014-02-17 18:57:26,11.843214432671,10.17188/1299783,"@misc{osti_1299783,
    author = ""Persson, Kristin"",
    title = ""Materials Data on Ag11Hg9 (SG:156) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1299783"",
    place = ""United States"",
    year = ""2014"",
    month = ""10"",
    note = ""An optional note""
}
",,0.0786079190833335,2.88618738,520.0,-32.31908094,-1.615954047,{'tags': []},-32.31908094,-1.615954047,0.0786079190833334,['xas'],False,[],True,2021-05-12 10:57:46.064000,NM,20,3,mp-770433,None,Ag11Hg9,"{'functional': 'PBE', 'labels': ['Ag', 'Hg'], 'pot_type': 'paw'}","{'Ag': 11.0, 'Hg': 9.0}",GGA,mp-770433,"['mp-770433', 'mp-1378384', 'mp-1820316']",0.0002477,"{'Ag': 11.0, 'Hg': 9.0}",419.48921655936215,[],NM,False,156,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.904800176548706e-07,0.0002477,0,0.0002477,MP,data/source/MP/cleaned/cifs/MP-mp-770433.cif,False,,data/final/MP/graphs/Ag0.55Hg0.45-MP-mp-770433.json,0,True,3m,0,0,0,0,0,0,5,1,0,0,0,1.0
Ag0.5Ba1Si1.5,1,0.0,8.0,False,Ag4Ba8Si12,Ag4Ba8Si12,1.21,Other,True,Ag16.667Ba33.333Si50,Ag-Ba-Si,3,Supercon,Ba1Ag0.5Si1.5,MP-mp-9867,Ba8Si12Ag4,Ag-Ba-Si,Ag16.667Ba33.333Si50,F d d d,orthorhombic,8.663309998578674,8.670365129928047,10.875500388858086,data/final/MP/cifs/Ag0.5Ba1Si1.5-MP-mp-9867.cif,data/source/MP/raw/cifs/mp-9867.cif,mp-9867,0.0617,,2011-06-08 08:03:15,4.776502639573697,10.17188/1316758,"@misc{osti_1316758,
    author = ""Persson, Kristin"",
    title = ""Materials Data on Ba2Si3Ag (SG:70) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1316758"",
    place = ""United States"",
    year = ""2016"",
    month = ""2"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1751844'}},0.0,4.01838082,520.0,-102.27191518,-4.261329799166666,{'tags': ['Barium silver silicide (4/2/6)']},-102.27191518,-4.261329799166666,-0.4369231786111112,"['xas', 'bandstructure']",True,[410520],True,2021-05-12 10:57:57.486000,NM,24,9,mp-9867,None,Ba2Si3Ag,"{'functional': 'PBE', 'labels': ['Ba_sv', 'Si', 'Ag'], 'pot_type': 'paw'}","{'Ba': 2.0, 'Si': 3.0, 'Ag': 1.0}",GGA,mp-9867,"['mp-925388', 'mp-9867', 'mp-924802', 'mp-909737', 'mp-1156413', 'mp-1399439', 'mp-1751844', 'mp-1889788', 'mp-1622280']",3.94e-05,"{'Ba': 8.0, 'Si': 12.0, 'Ag': 4.0}",649.0977397436878,[],NM,False,70,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.427985653782006e-07,3.94e-05,0,0.0001576,MP,data/source/MP/cleaned/cifs/MP-mp-9867.cif,False,,data/final/MP/graphs/Ag0.5Ba1Si1.5-MP-mp-9867.json,0,True,mmm,0,0,0,7,0,0,0,0,0,0,1,1.0
Ag0.5Pd0.5Th2,1,0.0,2.0,False,Ag1Pd1Th4,Ag1Pd1Th4,1.2,Other,True,Ag16.667Pd16.667Th66.667,Ag-Pd-Th,3,Supercon,Pd0.5Ag0.5Th2,MP-mp-1217282,Th4Ag1Pd1,Ag-Pd-Th,Ag16.667Pd16.667Th66.667,I 4 2 2,tetragonal,5.961603997853701,6.055648198969005,6.0556482,data/final/MP/cifs/Ag0.5Pd0.5Th2-MP-mp-1217282.cif,data/source/MP/raw/cifs/mp-1217282.cif,mp-1217282,0.0,,2019-01-12 18:38:43.970000,11.45244679948245,,,{'GGA': {'task_id': 'mp-1720404'}},0.0192808691666659,6.9136474,520.0,-39.3468212,-6.557803533333334,{'tags': []},-39.3468212,-6.557803533333334,-0.2798250644444451,['bandstructure'],True,[],True,2021-05-12 10:58:41.460000,NM,6,5,mp-1217282,None,Th4AgPd,"{'functional': 'PBE', 'labels': ['Th', 'Ag', 'Pd'], 'pot_type': 'paw'}","{'Th': 4.0, 'Ag': 1.0, 'Pd': 1.0}",GGA,mp-1217282,"['mp-1217282', 'mp-1401604', 'mp-1720404', 'mp-1827307', 'mp-1622279']",0.003215,"{'Th': 4.0, 'Ag': 1.0, 'Pd': 1.0}",165.64730795950294,[],NM,False,97,0,"[0, 0, 0, 0, 0, 0]",1.9408706604432085e-05,0.003215,0,0.003215,MP,data/source/MP/cleaned/cifs/MP-mp-1217282.cif,False,,data/final/MP/graphs/Ag0.5Pd0.5Th2-MP-mp-1217282.json,0,True,422,0,0,0,0,4,0,0,0,0,1,0,1.0
Ag0.5Sn0.5Te1,1,0.0,2.0,False,Ag1Sn1Te2,Ag1Sn1Te2,0.0,Other,True,Ag25Sn25Te50,Ag-Sn-Te,3,Supercon,Sn0.5Ag0.5Te1,MP-mp-1229006,Ag1Sn1Te2,Ag-Sn-Te,Ag25Sn25Te50,P 4/m m m,tetragonal,4.34439,4.34439,6.074553,data/final/MP/cifs/Ag0.5Sn0.5Te1-MP-mp-1229006.cif,data/source/MP/raw/cifs/mp-1229006.cif,mp-1229006,0.0,,2019-01-13 04:39:05.516000,6.977893003537542,,,{'GGA': {'task_id': 'mp-1732744'}},0.0364139496875002,5.54955594,520.0,-13.64719625,-3.4117990625,{'tags': []},-13.64719625,-3.4117990625,-0.3406166329166669,['bandstructure'],True,[],True,2021-05-12 10:58:49.477000,NM,4,5,mp-1229006,None,AgSnTe2,"{'functional': 'PBE', 'labels': ['Ag', 'Sn_d', 'Te'], 'pot_type': 'paw'}","{'Ag': 1.0, 'Sn': 1.0, 'Te': 2.0}",GGA,mp-1229006,"['mp-1229006', 'mp-1445755', 'mp-1732744', 'mp-1803164', 'mp-1584969']",0.0064562,"{'Ag': 1.0, 'Sn': 1.0, 'Te': 2.0}",114.64943961316844,[],NM,False,123,0,"[0, 0, 0, 0]",5.631252993284104e-05,0.0064562,0,0.0064562,MP,data/source/MP/cleaned/cifs/MP-mp-1229006.cif,False,,data/final/MP/graphs/Ag0.5Sn0.5Te1-MP-mp-1229006.json,0,True,4/mmm,0,0,0,0,7,0,0,1,0,0,0,1.0
Ag0.625Al0.375,3,0.0833333333333333,6.0,False,Ag3.75Al2.25,Ag4Al2,0.106,Other,True,Ag62.5Al37.5,Ag-Al,2,Supercon,Ag0.625Al0.375,MP-mp-985805,Al2Ag4,Ag-Al,Ag66.667Al33.333,C m c m,orthorhombic,4.569113,5.097394001168852,5.10979643,data/final/MP/cifs/Ag0.625Al0.375-MP-mp-985805-synth_doped.cif,data/source/MP/raw/cifs/mp-985805.cif,mp-985805,0.0,,2017-11-17 15:09:37,7.814765925012479,10.17188/1316751,"@misc{osti_1316751,
    author = ""Persson, Kristin"",
    title = ""Materials Data on AlAg2 (SG:63) by Materials Project"",
    abstractNote = ""Computed materials data using density functional theory calculations. These calculations determine the electronic structure of bulk materials by solving approximations to the Schrodinger equation. For more information, see https://materialsproject.org/docs/calculations"",
    doi = ""10.17188/1316751"",
    place = ""United States"",
    year = ""2016"",
    month = ""2"",
    note = ""An optional note""
}
",{'GGA': {'task_id': 'mp-1760271'}},0.0,5.04571075,520.0,-19.27423641,-3.212372735,{'tags': []},-19.27423641,-3.212372735,-0.0754767894444441,"['xas', 'elasticity', 'bandstructure']",True,[],True,2021-05-12 10:56:37.246000,NM,6,9,mp-985805,None,AlAg2,"{'functional': 'PBE', 'labels': ['Al', 'Ag'], 'pot_type': 'paw'}","{'Al': 1.0, 'Ag': 2.0}",GGA,mp-985805,"['mp-1040769', 'mp-1040772', 'mp-985805', 'mp-1256890', 'mp-1398492', 'mp-1760271', 'mp-1928111', 'mp-1627544', 'mp-1040771']",1.33e-05,"{'Al': 2.0, 'Ag': 4.0}",103.14899334858234,[],NM,False,63,0,"[0, 0, 0, 0, 0, 0]",2.578793950039609e-07,1.33e-05,0,2.66e-05,MP,data/source/MP/cleaned/cifs/MP-mp-985805.cif,True,,data/final/MP/graphs/Ag0.625Al0.375-MP-mp-985805-synth_doped.json,0,True,mmm,0,0,0,7,0,0,0,0,1,0,0,1.0
